year,month,day,jamsil,gochuck,moonhak,suwon,daejeon,daegu,gwangju,sajik,masan
2016,3,8,,,,OB-KT,WO-HH,,LG-HT,SK-LT,SS-NC
2016,3,9,,,,OB-KT,WO-HH,,LG-HT,SK-LT,SS-NC
2016,3,10,,,,WO-KT,OB-HH,,SK-HT,SS-LT,LG-NC
2016,3,11,,,,WO-KT,OB-HH,,SK-HT,SS-LT,LG-NC
2016,3,12,,,,SK-KT,SS-HH,,WO-HT,LG-LT,OB-NC
2016,3,13,,,,SK-KT,SS-HH,,WO-HT,LG-LT,OB-NC
2016,3,14,,,,,,,,,
2016,3,15,,SK-WO,,SS-KT,LG-HH,,NC-HT,OB-LT,
2016,3,16,,SK-WO,,SS-KT,LG-HH,,NC-HT,OB-LT,
2016,3,17,,OB-WO,,LG-KT,SK-HH,,SS-HT,NC-LT,
2016,3,18,,OB-WO,,LG-KT,SK-HH,,SS-HT,NC-LT,
2016,3,19,HT-OB,SS-WO,LG-SK,,,,,HH-LT,KT -NC
2016,3,20,HT-OB,SS-WO,LG-SK,,,,,HH-LT,KT -NC
2016,3,21,,,,,,,,,
2016,3,22,SK-OB,LT-WO,,,,LG-SS,KT-HT,,HH-NC
2016,3,23,SK-OB,LT-WO,,,,LG-SS,KT-HT,,HH-NC
2016,3,24,WO-LG,,NC-SK,,KT-HH,OB-SS,,HT-LT,
2016,3,25,WO-LG,,NC-SK,,KT-HH,OB-SS,,HT-LT,
2016,3,26,OB-LG,NC-WO,,LT-KT,,SK-SS,HH-HT,,
2016,3,27,OB-LG,NC-WO,,LT-KT,,SK-SS,HH-HT,,
2016,4,1,HH-LG,LT-WO,KT-SK,,,OB-SS,,,HT-NC
2016,4,2,HH-LG,LT-WO,KT-SK,,,OB-SS,,,HT-NC
2016,4,3,HH-LG,LT-WO,KT-SK,,,OB-SS,,,HT-NC
2016,4,4,,,,,,,,,
2016,4,5,NC-OB,,,SS-KT,WO-HH,,LG-HT,SK-LT,
2016,4,6,NC-OB,,,SS-KT,WO-HH,,LG-HT,SK-LT,
